MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2140364	Adprs	ADP-ribosylserine hydrolase	4		negative regulation of necroptotic process			IDA		J:291285 	
MGI:1349419	Aifm1	apoptosis-inducing factor, mitochondrion-associated 1	X		positive regulation of necroptotic process			IDA		J:186001 	
MGI:1349419	Aifm1	apoptosis-inducing factor, mitochondrion-associated 1	X		positive regulation of necroptotic process			IDA		J:77719 	
MGI:1913650	Alkbh7	alkB homolog 7	17		regulation of mitochondrial membrane permeability involved in programmed necrotic cell death			ISO	Q9BT30 	J:164563 	
MGI:1277124	Asah1	N-acylsphingosine amidohydrolase 1	8		regulation of programmed necrotic cell death			IMP		J:269643 	
MGI:2138446	Atg9a	autophagy related 9A	1		programmed necrotic cell death			IMP		J:242727 	
MGI:99702	Bax	BCL2-associated X protein	7		regulation of mitochondrial membrane permeability involved in programmed necrotic cell death	happens in fibroblast		IMP	MGI:3589203 	J:183839 	
MGI:1197009	Birc2	baculoviral IAP repeat-containing 2	9		necroptotic process			IMP		J:182381 	
MGI:1197009	Birc2	baculoviral IAP repeat-containing 2	9		negative regulation of necroptotic process			IBA	PTN002559449 	J:265628 	
MGI:1197009	Birc2	baculoviral IAP repeat-containing 2	9		negative regulation of necroptotic process			IGI	MGI:104798 	J:182381 	
MGI:1197009	Birc2	baculoviral IAP repeat-containing 2	9		negative regulation of ripoptosome assembly involved in necroptotic process			IGI	MGI:104798 	J:182381 	
MGI:1197009	Birc2	baculoviral IAP repeat-containing 2	9		negative regulation of ripoptosome assembly involved in necroptotic process			IGI	MGI:108212 	J:182381 	
MGI:1197009	Birc2	baculoviral IAP repeat-containing 2	9		regulation of necroptotic process			ISO	Q13490 	J:164563 	
MGI:1197007	Birc3	baculoviral IAP repeat-containing 3	9		necroptotic process			IDA		J:182381 	
MGI:1197007	Birc3	baculoviral IAP repeat-containing 3	9		negative regulation of necroptotic process			IBA	PTN002559449 	J:265628 	
MGI:1197007	Birc3	baculoviral IAP repeat-containing 3	9		negative regulation of necroptotic process			IMP		J:182381 	
MGI:1197007	Birc3	baculoviral IAP repeat-containing 3	9		regulation of necroptotic process			ISO	Q13489 	J:164563 	
MGI:1858494	Bok	BCL2-related ovarian killer	1		negative regulation of necroptotic process			IMP		J:235305 	
MGI:96544	Casp1	caspase 1	9		programmed necrotic cell death			IDA		J:99748 	
MGI:97295	Casp2	caspase 2	6		negative regulation of necroptotic process			ISO	P42575 	J:164563 	
MGI:1312921	Casp6	caspase 6	3		positive regulation of necroptotic process			ISO	P55212 	J:164563 	
MGI:1261423	Casp8	caspase 8	1		necroptotic process	happens in fibroblast		IGI	MGI:104798 	J:170814 	
