MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2660854	Adcy10	adenylate cyclase 10	1		positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway			ISO	RGD:708450 	J:155856 	
MGI:1096330	Bad	BCL2-associated agonist of cell death	19		positive regulation of intrinsic apoptotic signaling pathway in response to osmotic stress			IDA		J:194718 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of intrinsic apoptotic signaling pathway	positively regulates intrinsic apoptotic signaling pathway		IMP	MGI:2158306 	J:115656 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of intrinsic apoptotic signaling pathway			ISO	Q07812 	J:164563 	
MGI:2181667	Bbc3	BCL2 binding component 3	7		positive regulation of intrinsic apoptotic signaling pathway			ISO	RGD:631434 	J:155856 	
MGI:2181667	Bbc3	BCL2 binding component 3	7		positive regulation of intrinsic apoptotic signaling pathway			ISO	Q9BXH1 	J:164563 	
MGI:1350933	Bcap31	B cell receptor associated protein 31	X		positive regulation of intrinsic apoptotic signaling pathway			ISO	P51572 	J:164563 	
MGI:1197519	Bcl2l11	BCL2-like 11 (apoptosis facilitator)	2		positive regulation of intrinsic apoptotic signaling pathway			ISO	O43521 	J:164563 	
MGI:1917580	Bclaf1	BCL2-associated transcription factor 1	10		positive regulation of intrinsic apoptotic signaling pathway			ISO	Q9NYF8 	J:164563 	
MGI:1891828	Becn1	beclin 1, autophagy related	11		positive regulation of intrinsic apoptotic signaling pathway			ISO	RGD:620190 	J:155856 	
MGI:1891828	Becn1	beclin 1, autophagy related	11		positive regulation of intrinsic apoptotic signaling pathway			ISO	Q14457 	J:164563 	
MGI:108093	Bid	BH3 interacting domain death agonist	6		positive regulation of intrinsic apoptotic signaling pathway			IBA	PTN002860227 	J:265628 	
MGI:108093	Bid	BH3 interacting domain death agonist	6		positive regulation of intrinsic apoptotic signaling pathway			ISO	P55957 	J:164563 	
MGI:88184	Bmyc	brain expressed myelocytomatosis oncogene	2		positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator			ISO	P01106 	J:164563 	
MGI:1858494	Bok	BCL2-related ovarian killer	1		positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway			IDA		J:235310 	
MGI:1858494	Bok	BCL2-related ovarian killer	1		positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway			IMP		J:223399 	
MGI:1858494	Bok	BCL2-related ovarian killer	1		positive regulation of intrinsic apoptotic signaling pathway			IDA		J:228257 	
MGI:1100510	Bub1	BUB1, mitotic checkpoint serine/threonine kinase	2		positive regulation of intrinsic apoptotic signaling pathway	positively regulates intrinsic apoptotic signaling pathway		IMP	MGI:3793294 	J:135093 	
MGI:102709	Cav1	caveolin 1, caveolae protein	6		positive regulation of intrinsic apoptotic signaling pathway			ISO	Q03135 	J:164563 	
MGI:88423	Clu	clusterin	14		positive regulation of intrinsic apoptotic signaling pathway			ISO	P10909 	J:164563 	
