MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:87904	Actb	actin, beta	5		regulation of nucleotide-excision repair			NAS		J:320041 	
MGI:1861453	Actl6a	actin-like 6A	3		regulation of nucleotide-excision repair			NAS		J:320041 	
MGI:1933548	Actl6b	actin-like 6B	5		regulation of nucleotide-excision repair			NAS		J:320041 	
MGI:1935147	Arid1a	AT rich interactive domain 1A (SWI-like)	4		regulation of nucleotide-excision repair			NAS		J:320041 	
MGI:1926129	Arid1b	AT rich interactive domain 1B (SWI-like)	17		regulation of nucleotide-excision repair			NAS		J:320041 	
MGI:1924294	Arid2	AT rich interactive domain 2 (ARID, RFX-like)	15		regulation of nucleotide-excision repair			NAS		J:320041 	
MGI:1924295	Bcl7a	B cell CLL/lymphoma 7A	5		regulation of nucleotide-excision repair			NAS		J:320041 	
MGI:1332238	Bcl7b	B cell CLL/lymphoma 7B	5		regulation of nucleotide-excision repair			NAS		J:320041 	
MGI:1332237	Bcl7c	B cell CLL/lymphoma 7C	7		regulation of nucleotide-excision repair			NAS		J:320041 	
MGI:109337	Brca2	breast cancer 2, early onset	5		nucleotide-excision repair			ISO	P51587 	J:164563 	
MGI:1349766	Brd7	bromodomain containing 7	8		regulation of nucleotide-excision repair			NAS		J:320041 	
MGI:2442836	Brip1	BRCA1 interacting protein C-terminal helicase 1	11		nucleotide-excision repair			IBA	PTN000158307 	J:265628 	
MGI:1347086	Cetn1	centrin 1	18		nucleotide-excision repair			IBA	PTN002746217 	J:265628 	
MGI:1347085	Cetn2	centrin 2	X		nucleotide-excision repair			IBA	PTN002746217 	J:265628 	
MGI:1347085	Cetn2	centrin 2	X		nucleotide-excision repair			ISO	P41208 	J:164563 	
MGI:2677454	Cetn4	centrin 4	3		nucleotide-excision repair			IBA	PTN002746217 	J:265628 	
MGI:109474	Commd1	COMM domain containing 1	11		nucleotide-excision repair			ISO	Q8N668 	J:164563 	
MGI:1914487	Cul4a	cullin 4A	8		regulation of nucleotide-excision repair	regulates nucleotide-excision repair		IMP	MGI:3851025 	J:150427 	
MGI:1930042	Dclre1a	DNA cross-link repair 1A	19		nucleotide-excision repair			IMP	MGI:2180947 	J:62832 	
MGI:2156057	Dclre1b	DNA cross-link repair 1B	3		nucleotide-excision repair			ISA	AF241240 	J:62832 	
MGI:1355314	Ddb2	damage specific DNA binding protein 2	2		nucleotide-excision repair			ISO	Q92466 	J:164563 	
MGI:1352748	Dpf1	double PHD fingers 1	7		regulation of nucleotide-excision repair			NAS		J:320041 	
MGI:109529	Dpf2	double PHD fingers 2	19		regulation of nucleotide-excision repair			NAS		J:320041 	
MGI:1917377	Dpf3	double PHD fingers 3	12		regulation of nucleotide-excision repair			NAS		J:320041 	
MGI:95412	Ercc1	excision repair cross-complementing rodent repair deficiency, complementation group 1	7		nucleotide-excision repair	happens in fibroblast		IMP	MGI:2183944 	J:15422 	
MGI:95412	Ercc1	excision repair cross-complementing rodent repair deficiency, complementation group 1	7		nucleotide-excision repair			ISO	P07992 	J:73065 	
MGI:95412	Ercc1	excision repair cross-complementing rodent repair deficiency, complementation group 1	7		nucleotide-excision repair			ISO	P07992 	J:9239 	
MGI:95412	Ercc1	excision repair cross-complementing rodent repair deficiency, complementation group 1	7		pyrimidine dimer repair by nucleotide-excision repair	happens in epiblast cell		IMP		J:56965 	
MGI:95413	Ercc2	excision repair cross-complementing rodent repair deficiency, complementation group 2	7		nucleotide-excision repair	happens in skin		IMP	MGI:2183949 	J:48256 	
MGI:95413	Ercc2	excision repair cross-complementing rodent repair deficiency, complementation group 2	7		nucleotide-excision repair			IMP	MGI:2183949 	J:76608 	
MGI:95413	Ercc2	excision repair cross-complementing rodent repair deficiency, complementation group 2	7		nucleotide-excision repair			ISO	P18074 	J:73065 	
MGI:95413	Ercc2	excision repair cross-complementing rodent repair deficiency, complementation group 2	7		transcription-coupled nucleotide-excision repair			ISO	P18074 	J:164563 	
MGI:95414	Ercc3	excision repair cross-complementing rodent repair deficiency, complementation group 3	18		nucleotide-excision repair			ISO	P19447 	J:164563 	
MGI:95414	Ercc3	excision repair cross-complementing rodent repair deficiency, complementation group 3	18		nucleotide-excision repair, DNA duplex unwinding			ISO	P19447 	J:164563 	
MGI:95414	Ercc3	excision repair cross-complementing rodent repair deficiency, complementation group 3	18		transcription-coupled nucleotide-excision repair			ISO	P19447 	J:164563 	
MGI:1354163	Ercc4	excision repair cross-complementing rodent repair deficiency, complementation group 4	16		nucleotide-excision repair			ISO	Q92889 	J:164563 	
MGI:1354163	Ercc4	excision repair cross-complementing rodent repair deficiency, complementation group 4	16		nucleotide-excision repair			ISO	Q92889 	J:60251 	
MGI:1354163	Ercc4	excision repair cross-complementing rodent repair deficiency, complementation group 4	16		nucleotide-excision repair involved in interstrand cross-link repair			IBA	PTN000015911 	J:265628 	
MGI:1354163	Ercc4	excision repair cross-complementing rodent repair deficiency, complementation group 4	16		nucleotide-excision repair involved in interstrand cross-link repair			ISO	Q92889 	J:164563 	
MGI:103582	Ercc5	excision repair cross-complementing rodent repair deficiency, complementation group 5	1		nucleotide-excision repair	happens in fibroblast		IMP	MGI:2182793 	J:53756 	
MGI:103582	Ercc5	excision repair cross-complementing rodent repair deficiency, complementation group 5	1		nucleotide-excision repair			ISO	P28715 	J:164563 	
MGI:103582	Ercc5	excision repair cross-complementing rodent repair deficiency, complementation group 5	1		transcription-coupled nucleotide-excision repair			ISO	P28715 	J:164563 	
MGI:1100494	Ercc6	excision repair cross-complementing rodent repair deficiency, complementation group 6	14		transcription-coupled nucleotide-excision repair			IBA	PTN001326493 	J:265628 	
