MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1920932	Acer2	alkaline ceramidase 2	4		DNA damage response, signal transduction by p53 class mediator			ISO	Q5QJU3 	J:164563 	
MGI:1915298	Aen	apoptosis enhancing nuclease	7		intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator			IBA	PTN008542726 	J:265628 	
MGI:1915298	Aen	apoptosis enhancing nuclease	7		intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator			ISO	Q8WTP8 	J:164563 	
MGI:1097717	Ankrd1	ankyrin repeat domain 1 (cardiac muscle)	19		positive regulation of DNA damage response, signal transduction by p53 class mediator			ISO	Q15327 	J:164563 	
MGI:1861447	Ankrd2	ankyrin repeat domain 2 (stretch responsive muscle)	19		regulation of intrinsic apoptotic signaling pathway by p53 class mediator	happens in myoblast,regulates intrinsic apoptotic signaling pathway by p53 class mediator		IDA		J:136778 	
MGI:1861447	Ankrd2	ankyrin repeat domain 2 (stretch responsive muscle)	19		regulation of intrinsic apoptotic signaling pathway by p53 class mediator	happens in myoblast,regulates intrinsic apoptotic signaling pathway by p53 class mediator		IMP		J:136778 	
MGI:1914461	Armc10	armadillo repeat containing 10	5		negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator			IBA	PTN000404139 	J:265628 	
MGI:1914461	Armc10	armadillo repeat containing 10	5		negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator			ISO	Q8N2F6 	J:164563 	
MGI:2442925	Atad5	ATPase family, AAA domain containing 5	11		intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator			IGI	MGI:1336991 	J:99862 	
MGI:2442925	Atad5	ATPase family, AAA domain containing 5	11		intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator			IGI	MGI:98834 	J:99862 	
MGI:2442925	Atad5	ATPase family, AAA domain containing 5	11		negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator			IMP		J:99862 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		positive regulation of DNA damage response, signal transduction by p53 class mediator			ISO	Q13315 	J:164563 	
MGI:108028	Atr	ataxia telangiectasia and Rad3 related	9		positive regulation of DNA damage response, signal transduction by p53 class mediator			ISO	Q13535 	J:164563 	
MGI:103067	Atrx	ATRX, chromatin remodeler	X		DNA damage response, signal transduction by p53 class mediator			IMP		J:209584 	
MGI:1919439	Bag6	BCL2-associated athanogene 6	17		intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator			ISO	P46379 	J:164563 	
MGI:1859147	Batf	basic leucine zipper transcription factor, ATF-like	12		DNA damage response, signal transduction by p53 class mediator			IMP		J:190258 	
MGI:99702	Bax	BCL2-associated X protein	7		intrinsic apoptotic signaling pathway by p53 class mediator			IMP		J:57545 	
MGI:2181667	Bbc3	BCL2 binding component 3	7		intrinsic apoptotic signaling pathway by p53 class mediator			ISO	AF322558 	J:76185 	
MGI:2181667	Bbc3	BCL2 binding component 3	7		intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	happens in fibroblast		IMP	MGI:2681654 	J:101198 	
MGI:1922986	Bcl2l12	BCL2-like 12 (proline rich)	7		negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator			IDA		J:164679 	
MGI:88140	Bcl3	B cell leukemia/lymphoma 3	7		DNA damage response, signal transduction by p53 class mediator			ISO	P20749 	J:164563 	
MGI:88140	Bcl3	B cell leukemia/lymphoma 3	7		intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator			ISO	P20749 	J:73065 	
MGI:102845	Bdkrb2	bradykinin receptor, beta 2	12		intrinsic apoptotic signaling pathway in response to osmotic stress by p53 class mediator	happens in metanephros		IGI	MGI:98834 	J:111678 	
MGI:102845	Bdkrb2	bradykinin receptor, beta 2	12		intrinsic apoptotic signaling pathway in response to osmotic stress by p53 class mediator	happens in metanephros		IGI	MGI:99702 	J:111678 	
MGI:102845	Bdkrb2	bradykinin receptor, beta 2	12		negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress by p53 class mediator	negatively regulates intrinsic apoptotic signaling pathway in response to osmotic stress by p53 class mediator		IGI	MGI:98834 	J:111678 	
MGI:102845	Bdkrb2	bradykinin receptor, beta 2	12		negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress by p53 class mediator	negatively regulates intrinsic apoptotic signaling pathway in response to osmotic stress by p53 class mediator		IGI	MGI:99702 	J:111678 	
MGI:88184	Bmyc	brain expressed myelocytomatosis oncogene	2		positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator			ISO	P01106 	J:164563 	
MGI:1858494	Bok	BCL2-related ovarian killer	1		intrinsic apoptotic signaling pathway by p53 class mediator			ISO	Q9UMX3 	J:164563 	
MGI:1334460	Bop1	block of proliferation 1	15		regulation of signal transduction by p53 class mediator			ISO	Q14137 	J:164563 	
MGI:109337	Brca2	breast cancer 2, early onset	5		DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator			IMP	MGI:1930616 	J:37362 	
MGI:109337	Brca2	breast cancer 2, early onset	5		intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator			IGI	MGI:98834 	J:122559 	
MGI:109337	Brca2	breast cancer 2, early onset	5		intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	happens in small intestine		IMP	MGI:2429691 MGI:3052655 	J:98772 	
MGI:97295	Casp2	caspase 2	6		DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest			ISO	P42575 	J:164563 	
MGI:1312921	Casp6	caspase 6	3		intrinsic apoptotic signaling pathway by p53 class mediator			ISO	P55212 	J:164563 	
MGI:88338	Cd44	CD44 antigen	2		negative regulation of DNA damage response, signal transduction by p53 class mediator			IMP		J:114878 	
MGI:88338	Cd44	CD44 antigen	2		negative regulation of DNA damage response, signal transduction by p53 class mediator			ISO	P16070 	J:164563 	
MGI:88338	Cd44	CD44 antigen	2		negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator			IMP		J:114878 	
