"LocationID" "Pt_PPB" "SampleID" "PleateID" "Compartment" "Concentration" "TimeID" "Replicate" "Dilution" "Initial_volume" "Platinum_ppb_correct" "Platinum_nM" "Platinum_pmol" "Platinum_pgram"
"1" "A01" 0.014087737 "ersatz" "Leiden_PtDetermination_Plate2" "Plasma" 0 0 1 100 100 1.4087737 7.22448051282051 0.722448051282051 140.87737
"2" "A02" 0.011900744 "ersatz" "Leiden_PtDetermination_Plate2" "Plasma" 0 0 2 100 82 1.1900744 6.10294564102564 0.500441542564102 97.5861008
"3" "A03" 0.008726875 "ersatz" "Leiden_PtDetermination_Plate2" "Plasma" 0 0 3 100 72 0.8726875 4.47532051282051 0.322223076923077 62.8335
"4" "A04" 0.007594025 "ersatz" "Leiden_PtDetermination_Plate2" "Plasma" 0 0 4 100 90 0.7594025 3.8943717948718 0.350493461538462 68.346225
"5" "A05" 0.008374153 "15001" "Leiden_PtDetermination_Plate2" "Plasma" 5 0 1 100 100 0.8374153 4.29443743589744 0.429443743589744 83.74153
"6" "A06" 0.008268164 "15003" "Leiden_PtDetermination_Plate2" "Plasma" 5 0 2 100 100 0.8268164 4.2400841025641 0.42400841025641 82.68164
"7" "A07" 0.00682067 "15005" "Leiden_PtDetermination_Plate2" "Plasma" 5 0 3 100 82 0.682067 3.49777948717949 0.286817917948718 55.929494
"8" "A08" 15.96323399 "14001" "Leiden_PtDetermination_Plate2" "Plasma" 5 1 1 100 100 1596.323399 8186.27384102564 818.627384102564 159632.3399
"9" "A09" 14.69899452 "14003" "Leiden_PtDetermination_Plate2" "Plasma" 5 1 2 100 94 1469.899452 7537.94590769231 708.566915323077 138170.548488
"10" "A10" 12.92471983 "14005" "Leiden_PtDetermination_Plate2" "Plasma" 5 1 3 100 100 1292.471983 6628.06145128205 662.806145128205 129247.1983
"11" "A11" 9.342789948 "15001" "Leiden_PtDetermination_Plate2" "Plasma" 5 2 1 100 50 934.2789948 4791.17433230769 239.558716615385 46713.94974
"12" "A12" 8.889867081 "15003" "Leiden_PtDetermination_Plate2" "Plasma" 5 2 2 100 70 888.9867081 4558.90619538462 319.123433676923 62229.069567
"13" "B01" 68.5951552 "14001" "Leiden_PtDetermination_Plate2" "Plasma" 5 0.1 4 100 80 6859.51552 35177.0026666667 2814.16021333333 548761.2416
"14" "B02" 78.63531699 "14003" "Leiden_PtDetermination_Plate2" "Plasma" 5 0.1 5 100 70 7863.531699 40325.8035846154 2822.80625092308 550447.21893
"15" "B03" 77.64114562 "14005" "Leiden_PtDetermination_Plate2" "Plasma" 5 0.1 6 100 93 7764.114562 39815.9721128205 3702.88540649231 722062.654266
"16" "B04" 70.95453525 "16001" "Leiden_PtDetermination_Plate2" "Plasma" 5 0.25 1 100 70 7095.453525 36386.9411538462 2547.08588076923 496681.74675
"17" "B05" 127.6739295 "16003" "Leiden_PtDetermination_Plate2" "Plasma" 5 0.25 2 100 70 12767.39295 65473.81 4583.1667 893717.5065
"18" "B06" 69.76714264 "16005" "Leiden_PtDetermination_Plate2" "Plasma" 5 0.25 3 100 70 6976.714264 35778.0218666667 2504.46153066667 488369.99848
"19" "B07" 38.96444496 "15001" "Leiden_PtDetermination_Plate2" "Plasma" 5 0.5 1 100 68 3896.444496 19981.7666461538 1358.76013193846 264958.225728
"20" "B08" 56.42057145 "15003" "Leiden_PtDetermination_Plate2" "Plasma" 5 0.5 2 100 70 5642.057145 28933.6263846154 2025.35384692308 394944.00015
"21" "B09" 38.92073063 "15005" "Leiden_PtDetermination_Plate2" "Plasma" 5 0.5 3 100 80 3892.073063 19959.3490410256 1596.74792328205 311365.84504
"22" "B10" 24.21160185 "16001" "Leiden_PtDetermination_Plate2" "Plasma" 5 0.75 1 100 60 2421.160185 12416.2060769231 744.972364615385 145269.6111
"23" "B11" 31.64027371 "16003" "Leiden_PtDetermination_Plate2" "Plasma" 5 0.75 2 100 80 3164.027371 16225.7813897436 1298.06251117949 253122.18968
