"SampleID" "LocationID" "Pt_PPB" "PleateID" "Compartment" "Concentration" "TimeID" "Replicate" "Dilution" "Initial_volume" "protein..mg.ml." "protein_in_400uL..mg." "Platinum_ppb_correct" "Platinum_nM" "Platinum_pmol" "Platinum_pgram" "Pt_ug_per_gProt"
"1" "10001_K" "D04" 1.028638511 "Leiden_PtDetermination_Plate1" "Kidney" 5 "288" 1 100 400 1.909722222 0.763888889 102.8638511 527.506928717949 211.002771487179 41145.54044 53.8632529318017
"2" "10003_K" "E04" 1.207278693 "Leiden_PtDetermination_Plate1" "Kidney" 5 "288" 2 100 400 1.734283626 0.69371345 120.7278693 619.117278461538 247.646911384615 48291.14772 69.6125290925237
"3" "10005_K" "F04" 0.861208566 "Leiden_PtDetermination_Plate1" "Kidney" 5 "480" 3 100 400 1.653874269 0.661549708 86.1208566 441.645418461538 176.658167384615 34448.34264 52.0721908322572
"4" "1001_K" "A01" 0.01559181 "Leiden_PtDetermination_Plate1" "Kidney" 0 "24" 1 100 400 1.924342105 0.769736842 1.559181 7.9958 3.19832 623.6724 0.810241066777469
"5" "1003_K" "B01" 0.048783157 "Leiden_PtDetermination_Plate1" "Kidney" 0 "24" 2 100 400 1.843932749 0.737573099 4.8783157 25.0170035897436 10.0068014358974 1951.32628 2.64560391728712
"6" "1005_K" "C01" 0.04234181 "Leiden_PtDetermination_Plate1" "Kidney" 0 "24" 3 100 400 2.626096491 1.050438596 4.234181 21.7137487179487 8.68549948717949 1693.6724 1.61234783874982
"7" "11001_K" "G04" 1.350952847 "Leiden_PtDetermination_Plate1" "Kidney" 5 "360" 1 100 400 1.599049708 0.639619883 135.0952847 692.796331794872 277.118532717949 54038.11388 84.4847311915099
"8" "11003_K" "H04" 1.173254963 "Leiden_PtDetermination_Plate1" "Kidney" 5 "360" 2 100 400 1.653874269 0.661549708 117.3254963 601.669211794872 240.667684717949 46930.19852 70.9397917533357
"9" "11005_K" "A05" 1.10490565 "Leiden_PtDetermination_Plate1" "Kidney" 5 "360" 3 100 400 1.244517544 0.497807018 110.490565 566.618282051282 226.647312820513 44196.226 88.7818459803233
"10" "12001_K" "B05" 0.825378811 "Leiden_PtDetermination_Plate1" "Kidney" 5 "480" 1 100 400 1.504020468 0.601608187 82.5378811 423.271185128205 169.308474051282 33015.15244 54.878163484833
"11" "12003_K" "C05" 0.746764737 "Leiden_PtDetermination_Plate1" "Kidney" 5 "480" 2 100 400 1.328581871 0.531432749 74.6764737 382.956275384615 153.182510153846 29870.58948 56.2076566342734
"12" "12005_K" "D05" 1.15307614 "Leiden_PtDetermination_Plate1" "Kidney" 5 "288" 3 100 400 3.00621345 1.20248538 115.307614 591.321097435897 236.528438974359 46123.0456 38.3564294145514
"13" "13001_K" "E05" 0.445879325 "Leiden_PtDetermination_Plate1" "Kidney" 5 "672" 1 100 400 2.582236842 1.032894737 44.5879325 228.656064102564 91.4624256410256 17835.173 17.267173857233
"14" "13003_K" "F05" 0.591744122 "Leiden_PtDetermination_Plate1" "Kidney" 5 "672" 2 100 400 0.882675439 0.353070175 59.1744122 303.458524102564 121.383409641026 23669.76488 67.0398310477513
"15" "13005_K" "G05" 1.180798304 "Leiden_PtDetermination_Plate1" "Kidney" 5 "672" 3 100 400 1.357821637 0.543128655 118.0798304 605.537591794872 242.215036717949 47231.93216 86.9626960853318
"16" "14001_K" "H05" 3.240120475 "Leiden_PtDetermination_Plate1" "Kidney" 5 "1" 1 100 400 1.975511696 0.790204678 324.0120475 1661.60024358974 664.640097435897 129604.819 164.014239105783
"17" "14003_K" "A06" 3.778831833 "Leiden_PtDetermination_Plate1" "Kidney" 5 "1" 2 100 400 1.876827485 0.750730994 377.8831833 1937.86247846154 775.144991384615 151153.27332 201.341458562453
"18" "14003_U" "A07" 3289.563716 "Leiden_PtDetermination_Plate1" "Urine" 5 "1" 2 100 40 NA NA 328956.3716 1686955.75179487 67478.2300717949 13158254.864 NA
"19" "14005_K" "B06" 6.16838845 "Leiden_PtDetermination_Plate1" "Kidney" 5 "1" 3 100 400 4.0625 1.625 616.838845 3163.27612820513 1265.31045128205 246735.538 151.837254153846
"20" "15001_K" "C06" 2.481983286 "Leiden_PtDetermination_Plate1" "Kidney" 5 "2" 1 100 400 3.503289474 1.401315789 248.1983286 1272.81194153846 509.124776615385 99279.33144 70.8472224600047
"21" "15001_U" "B07" 270.6870462 "Leiden_PtDetermination_Plate1" "Urine" 5 "2" 1 100 40 NA NA 27068.70462 138813.869846154 5552.55479384615 1082748.1848 NA
"22" "15003_K" "D06" 2.683662632 "Leiden_PtDetermination_Plate1" "Kidney" 5 "2" 2 100 400 2.775950292 1.110380117 268.3662632 1376.23724717949 550.494898871795 107346.50528 96.6754570227954
"23" "17003_U" "C07" 5.79457415008794 "Leiden_PtDetermination_Plate1" "Urine" 5 "672" 2 100 40 NA NA 579.457415008794 2971.57648722458 118.863059488983 23178.2966003518 NA
"24" "15005_K" "E06" 2.031680866 "Leiden_PtDetermination_Plate1" "Kidney" 5 "2" 3 100 400 2.293494152 0.917397661 203.1680866 1041.88762358974 416.755049435897 81267.23464 88.5845234785267
"25" "15005_U" "D07" 20.27366553 "Leiden_PtDetermination_Plate1" "Urine" 5 "2" 3 100 40 NA NA 2027.366553 10396.7515538462 415.870062153846 81094.66212 NA
"26" "16001_K" "F06" 2.61385433 "Leiden_PtDetermination_Plate1" "Kidney" 5 "4" 1 100 400 3.558114035 1.423245614 261.385433 1340.43811794872 536.175247179487 104554.1732 73.4617919574351
"27" "16001_U" "E07" 28.59345555 "Leiden_PtDetermination_Plate1" "Urine" 5 "4" 1 100 40 NA NA 2859.345555 14663.3105384615 586.532421538462 114373.8222 NA
"28" "16003_k" "G06" 1.845816036 "Leiden_PtDetermination_Plate1" "Kidney" 5 "4" 2 100 400 1.438230994 0.575292398 184.5816036 946.572326153846 378.628930461538 73832.64144 128.339330915337
"29" "16003_U" "F07" 19.43030036 "Leiden_PtDetermination_Plate1" "Urine" 5 "4" 2 100 40 NA NA 1943.030036 9964.25659487179 398.570263794872 77721.20144 NA
"30" "16005_K" "H06" 2.870301275 "Leiden_PtDetermination_Plate1" "Kidney" 5 "4" 3 100 400 3.00255848 1.201023392 287.0301275 1471.94937179487 588.779748717949 114812.051 95.5951830453607
"31" "16005_U" "G07" 43.30423126 "Leiden_PtDetermination_Plate1" "Urine" 5 "4" 3 100 40 NA NA 4330.423126 22207.2980820513 888.291923282051 173216.92504 NA
"32" "17001_U" "H07" 4.040619877 "Leiden_PtDetermination_Plate1" "Urine" 5 "672" 1 100 40 NA NA 404.0619877 2072.1127574359 82.8845102974359 16162.479508 NA
"33" "18001_U" "A08" 32.93541509 "Leiden_PtDetermination_Plate1" "Urine" 5 "672" 1 100 40 NA NA 3293.541509 16889.9564564103 675.59825825641 131741.66036 NA
"34" "18003_U" "B08" 121.2234167 "Leiden_PtDetermination_Plate1" "Urine" 5 "672" 2 100 40 NA NA 12122.34167 62165.8547179487 2486.63418871795 484893.6668 NA
"35" "18005_U" "C08" 14.95189854 "Leiden_PtDetermination_Plate1" "Urine" 5 "672" 3 100 40 NA NA 1495.189854 7667.64027692308 306.705611076923 59807.59416 NA
"36" "2001_K" "D01" 0.017914018 "Leiden_PtDetermination_Plate1" "Kidney" 0 "192" 1 100 400 2.42872807 0.971491228 1.7914018 9.1866758974359 3.67467035897436 716.56072 0.737588461272241
"37" "2003_K" "E01" 0.024748941 "Leiden_PtDetermination_Plate1" "Kidney" 0 "192" 2 100 400 2.468932749 0.987573099 2.4748941 12.6917646153846 5.07670584615385 989.95764 1.00241454632818
"38" "2005_K" "F01" 0.01420331 "Leiden_PtDetermination_Plate1" "Kidney" 0 "192" 2 100 400 3.316885965 1.326754386 1.420331 7.28374871794872 2.91349948717949 568.1324 0.428212189079584
"39" "3001_K" "G01" 0.014911425 "Leiden_PtDetermination_Plate1" "Kidney" 0 "360" 1 100 400 2.169225146 0.867690058 1.4911425 7.64688461538462 3.05875384615385 596.457 0.687407899284701
"40" "3003_K" "H01" 0.020948444 "Leiden_PtDetermination_Plate1" "Kidney" 0 "360" 2 100 400 2.878289474 1.151315789 2.0948444 10.7427917948718 4.29711671794872 837.93776 0.727808797556584
"41" "3005_K" "A02" 0.012040696 "Leiden_PtDetermination_Plate1" "Kidney" 0 "360" 3 100 400 3.324195906 1.329678363 1.2040696 6.1747158974359 2.46988635897436 481.62784 0.362213790493935
"42" "4001_K" "B02" 0.020782447 "Leiden_PtDetermination_Plate1" "Kidney" 0 "672" 1 100 400 2.030336257 0.812134503 2.0782447 10.6576651282051 4.26306605128205 831.29788 1.02359630939113
"43" "4003_K" "C02" 0.014688968 "Leiden_PtDetermination_Plate1" "Kidney" 0 "672" 2 100 400 2.264254386 0.905701754 1.4688968 7.5328041025641 3.01312164102564 587.55872 0.648733114852729
"44" "4005_K" "D02" 0.010490083 "Leiden_PtDetermination_Plate1" "Kidney" 0 "672" 3 100 400 2.779605263 1.111842105 1.0490083 5.37952974358974 2.1518118974359 419.60332 0.377394702101159
"45" "5001_K" "E02" 3.160788301 "Leiden_PtDetermination_Plate1" "Kidney" 5 "24" 1 100 400 2.373903509 0.949561404 316.0788301 1620.9170774359 648.366830974359 126431.53204 133.147294642991
"46" "5003_K" "F02" 2.309189585 "Leiden_PtDetermination_Plate1" "Kidney" 5 "24" 2 100 400 1.716008772 0.686403509 230.9189585 1184.19978717949 473.679914871795 92367.5834 134.567469700974
"47" "5005_K" "G02" 2.868606069 "Leiden_PtDetermination_Plate1" "Kidney" 5 "24" 3 100 400 1.719663743 0.687865497 286.8606069 1471.08003538462 588.432014153846 114744.24276 166.812034126491
"48" "6001_K" "H02" 2.468095796 "Leiden_PtDetermination_Plate1" "Kidney" 5 "72" 1 100 400 1.584429825 0.63377193 246.8095796 1265.69015179487 506.276060717949 98723.83184 155.771859192312
"49" "6003_K" "A03" 2.27598789 "Leiden_PtDetermination_Plate1" "Kidney" 5 "72" 2 100 400 2.125365497 0.850146199 227.598789 1167.17327692308 466.869310769231 91039.5156 107.086893650865
"50" "6005_K" "B03" 1.940161048 "Leiden_PtDetermination_Plate1" "Kidney" 5 "72" 3 100 400 1.953581871 0.781432749 194.0161048 994.954383589744 397.981753435897 77606.44192 99.3130144843725
"51" "7001_K" "C03" 1.723603158 "Leiden_PtDetermination_Plate1" "Kidney" 5 "120" 1 100 400 1.778143275 0.71125731 172.3603158 883.899055384615 353.559622153846 68944.12632 96.9327490215883
"52" "7003_K" "D03" 1.7486855 "Leiden_PtDetermination_Plate1" "Kidney" 5 "120" 2 100 400 3.634868421 1.453947368 174.86855 896.761794871795 358.704717948718 69947.42 48.1086327741129
"53" "7005_K" "E03" 1.096105041 "Leiden_PtDetermination_Plate1" "Kidney" 5 "120" 3 100 400 1.281067251 0.512426901 109.6105041 562.105149230769 224.842059692308 43844.20164 85.5618656132965
"54" "8001_K" "F03" 1.348394044 "Leiden_PtDetermination_Plate1" "Kidney" 5 "192" 1 100 400 1.46747076 0.586988304 134.8394044 691.484125128205 276.593650051282 53935.76176 91.8855816929531
"55" "8003_K" "G03" 1.680237726 "Leiden_PtDetermination_Plate1" "Kidney" 5 "192" 2 100 400 2.238669591 0.895467836 168.0237726 861.660372307692 344.664148923077 67209.50904 75.0551905250118
"56" "8005_K" "H03" 1.360287892 "Leiden_PtDetermination_Plate1" "Kidney" 5 "192" 3 100 400 1.350511696 0.540204678 136.0287892 697.583534358974 279.03341374359 54411.51568 100.723888362922
"57" "9001_K" "A04" 0.737176124 "Leiden_PtDetermination_Plate1" "Kidney" 5 "240" 1 100 400 1.474780702 0.589912281 73.7176124 378.039037948718 151.215615179487 29487.04496 49.9854739589665
"58" "9003_K" "B04" 1.026529296 "Leiden_PtDetermination_Plate1" "Kidney" 5 "240" 2 100 400 2.38121345 0.95248538 102.6529296 526.42528 210.570112 41061.17184 43.1095035180487
"59" "9005_K" "C04" 1.036643419 "Leiden_PtDetermination_Plate1" "Kidney" 5 "240" 3 100 400 2.443347953 0.977339181 103.6643419 531.61200974359 212.644803897436 41465.73676 42.4271712074132
"60" "Cis1" "A09" 0.059843363 "Leiden_PtDetermination_Plate1" "Control" 0.1 "0" 1 730 400 NA NA 43.68565499 224.028999948718 89.6115999794872 17474.261996 NA
"61" "Cis2" "B09" 0.126900697 "Leiden_PtDetermination_Plate1" "Control" 0.5 "0" 1 730 400 NA NA 92.63750881 475.06414774359 190.025659097436 37055.003524 NA
"62" "Cis3" "C09" 0.294032878 "Leiden_PtDetermination_Plate1" "Control" 1 "0" 1 730 400 NA NA 214.64400094 1100.73846635897 440.29538654359 85857.600376 NA
"63" "Cis4" "D09" 2.818761701 "Leiden_PtDetermination_Plate1" "Control" 10 "0" 1 730 400 NA NA 2057.69604173 10552.2873934872 4220.91495739487 823078.416692 NA
"64" "Cis5" "E09" 13.20306782 "Leiden_PtDetermination_Plate1" "Control" 50 "0" 1 730 400 NA NA 9638.2395086 49426.8692748718 19770.7477099487 3855295.80344 NA
