,S_10001_CPT_2,S_10003_PPT_2,S_10005_PPT_2,S_1005_CPT_2,S_11001_CPT_2,S_11001_PPT_2,S_11003_PPT_2,S_11005_PPT_2,S_12003_PPT_2,S_12005_PPT_2,S_13005_CPT_2,S_14001_CPT_2,S_15001_PPT_2,S_16001_PPT_2,S_16005_PPT_2,S_2001_CPT_2,S_2003_PPT_2,S_2005_CPT_2,S_2005_PPT_2,S_3001_CPT_2,S_3005_CPT_2,S_3005_PPT_2,S_4001_PPT_2,S_4003_CPT_2,S_4003_PPT_2,S_4005_PPT_2,S_5001_CPT_2,S_5001_PPT_2,S_5003_CPT_2,S_5005_PPT_2,S_6005_CPT_2,S_7003_PPT_2,S_7005_CPT_2,S_8001_CPT_2,S_8003_CPT_2,S_8005_CPT_2,S_9005_PPT_2
LOC100361920_34129,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,15,0,2,0,0,0,4,0,6,1,0,0,0
Timd2_34130,867,159,27,0,67,13,0,31,173,0,75,55,95,0,77,0,135,155,141,0,179,97,275,91,203,158,386,149,0,63,118,22,149,184,15,100,0
Ptrh1_34131,60,25,0,20,0,0,0,0,0,0,33,14,100,0,84,0,43,36,16,0,36,53,109,38,102,66,135,0,0,0,57,0,26,28,0,37,19
AABR07051716.1_34132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Zfp174_34133,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,5,0,0,0,0,0,0,0,0,14,0
AABR07034736.1_34134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Prr3_34135,190,93,1,0,51,19,0,0,53,0,410,19,84,0,68,21,48,38,76,0,36,57,129,176,118,81,129,53,0,0,122,29,137,128,15,123,35
Pde2a_34136,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Spag11a_34137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Tanc2_34138,95,38,0,0,13,0,0,0,19,0,111,100,28,0,10,0,0,36,0,0,91,34,52,116,4,13,51,15,0,0,95,0,89,121,0,112,0
Rgs17_34139,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Ctnna2_34140,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AABR07060971.1_34141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arhgap45_34142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tln2_34143,112,42,22,0,41,0,0,0,63,0,93,82,23,0,24,52,19,160,1,0,44,46,26,82,28,53,66,0,0,7,90,14,81,98,0,88,0
Olr668_34144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AABR07020879.1_34145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AABR07049228.1_34146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tradd_34147,74,60,0,0,18,0,0,20,0,6,12,0,55,0,68,0,12,44,83,0,0,18,84,76,57,59,124,13,0,15,43,22,30,35,0,55,0
Fam160a1_34148,34,21,0,0,0,0,0,0,22,0,27,0,72,0,68,0,0,0,13,0,52,17,8,24,13,30,11,25,0,0,0,0,11,13,1,52,0
AABR07049579.2_34149,0,0,0,0,0,0,0,0,0,0,0,18,0,0,12,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
Pkia_34150,182,9,17,0,0,7,0,0,11,0,36,0,0,0,0,0,0,15,10,0,19,0,0,85,9,0,11,0,0,1,15,0,11,29,0,15,0
Adgrl3_34151,34,71,2,0,0,0,0,0,50,0,12,0,21,1,0,0,0,0,32,0,0,18,0,0,13,41,0,0,1,0,0,16,0,0,0,12,0
Mpped2_34152,0,0,0,21,0,0,0,0,0,16,12,0,0,0,0,1,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,13,0
