SAMPLE_ID	PLATE_ID	LOCATION_ID	CELL_ID	TREATMENT	REPLICATE	TIMEPOINT	EXP_ID	CONCENTRATION	KIDNEY_CODE	PERCENTAGE_MAPPED
S_10001	RatKidney	WHOLE	1	CIS	1	288	BCL_SP_0195_LCM	5	10001	90.66
S_10001_CPT_1	RatKidney	CPT	1	CIS	1	288	BCL_SP_0195_LCM	5	10001	0.72
S_10001_PPT_1	RatKidney	PPT	1	CIS	1	288	BCL_SP_0195_LCM	5	10001	47.56
S_10003	RatKidney	WHOLE	1	CIS	2	288	BCL_SP_0195_LCM	5	10003	91.99
S_10003_CPT_1	RatKidney	CPT	1	CIS	2	288	BCL_SP_0195_LCM	5	10003	38.06
S_10003_PPT_1	RatKidney	PPT	1	CIS	2	288	BCL_SP_0195_LCM	5	10003	4.41
S_10005	RatKidney	WHOLE	1	CIS	3	480	BCL_SP_0195_LCM	5	10005	90.68
S_10005_CPT_1	RatKidney	CPT	1	CIS	3	480	BCL_SP_0195_LCM	5	10005	61.57
S_10005_PPT_1	RatKidney	PPT	1	CIS	3	480	BCL_SP_0195_LCM	5	10005	3.06
S_1001	RatKidney	WHOLE	1	CIS	1	24	BCL_SP_0195_LCM	0	1001	92.64
S_1001_CPT_1	RatKidney	CPT	1	CIS	1	24	BCL_SP_0195_LCM	0	1001	32.7
S_1001_PPT_1	RatKidney	PPT	1	CIS	1	24	BCL_SP_0195_LCM	0	1001	57.51
S_1003	RatKidney	WHOLE	1	CIS	2	24	BCL_SP_0195_LCM	0	1003	93.42
S_1003_CPT_1	RatKidney	CPT	1	CIS	2	24	BCL_SP_0195_LCM	0	1003	63.63
S_1003_PPT_1	RatKidney	PPT	1	CIS	2	24	BCL_SP_0195_LCM	0	1003	2.35
S_1005	RatKidney	WHOLE	1	CIS	3	24	BCL_SP_0195_LCM	0	1005	90.66
S_1005_CPT_1	RatKidney	CPT	1	CIS	3	24	BCL_SP_0195_LCM	0	1005	4.63
S_1005_PPT_1	RatKidney	PPT	1	CIS	3	24	BCL_SP_0195_LCM	0	1005	7.76
S_11001	RatKidney	WHOLE	1	CIS	1	360	BCL_SP_0195_LCM	5	11001	96.05
S_11001_CPT_1	RatKidney	CPT	1	CIS	1	360	BCL_SP_0195_LCM	5	11001	20.99
S_11001_PPT_1	RatKidney	PPT	1	CIS	1	360	BCL_SP_0195_LCM	5	11001	1.85
S_11003	RatKidney	WHOLE	1	CIS	2	360	BCL_SP_0195_LCM	5	11003	92.35
S_11003_CPT_1	RatKidney	CPT	1	CIS	2	360	BCL_SP_0195_LCM	5	11003	63.08
S_11003_PPT_1	RatKidney	PPT	1	CIS	2	360	BCL_SP_0195_LCM	5	11003	3.53
S_11005	RatKidney	WHOLE	1	CIS	3	360	BCL_SP_0195_LCM	5	11005	92.81
S_11005_CPT_1	RatKidney	CPT	1	CIS	3	360	BCL_SP_0195_LCM	5	11005	64.91
S_11005_PPT_1	RatKidney	PPT	1	CIS	3	360	BCL_SP_0195_LCM	5	11005	0.54
S_12001	RatKidney	WHOLE	1	CIS	1	480	BCL_SP_0195_LCM	5	12001	87.65
S_12001_CPT_1	RatKidney	CPT	1	CIS	1	480	BCL_SP_0195_LCM	5	12001	63.52
S_12001_PPT_1	RatKidney	PPT	1	CIS	1	480	BCL_SP_0195_LCM	5	12001	24.96
S_12003	RatKidney	WHOLE	1	CIS	2	480	BCL_SP_0195_LCM	5	12003	87.04
S_12003_CPT_1	RatKidney	CPT	1	CIS	2	480	BCL_SP_0195_LCM	5	12003	36.07
