"","data4modelReal","timepoints","Segment","replID","StateVar","dose_uMadj","data4modelInterpol","timeID"
"1",0,1,"PPT",1,"DD",5,0,1
"11",0,1,"CPT",1,"DD",5,0,1
"100",0,1,"PPT",1,"Apop",5,0,1
"110",0,1,"CPT",1,"Apop",5,0,1
"199",0,1,"PPT",1,"Rep",5,0,1
"209",0,1,"CPT",1,"Rep",5,0,1
"298",0,1,"PPT",1,"CA",5,0,1
"308",0,1,"CPT",1,"CA",5,0,1
"1611",164.014239105783,1,"CPT",1,"Accu",5,164.014239105783,1
"1612",164.014239105783,1,"PPT",1,"Accu",5,164.014239105783,1
"1104",8.18627384102564,1,"CPT",1,"S",5,8.18627384102564,1
"1105",8.18627384102564,1,"PPT",1,"S",5,8.18627384102564,1
"35",0,1,"PPT",2,"DD",5,0,1
"45",0,1,"CPT",2,"DD",5,0,1
"134",0,1,"PPT",2,"Apop",5,0,1
"144",0,1,"CPT",2,"Apop",5,0,1
"233",0,1,"PPT",2,"Rep",5,0,1
"243",0,1,"CPT",2,"Rep",5,0,1
"332",0,1,"PPT",2,"CA",5,0,1
"342",0,1,"CPT",2,"CA",5,0,1
"1711",201.341458562453,1,"CPT",2,"Accu",5,201.341458562453,1
"1712",201.341458562453,1,"PPT",2,"Accu",5,201.341458562453,1
"2104",7.53794590769231,1,"CPT",2,"S",5,7.53794590769231,1
"2105",7.53794590769231,1,"PPT",2,"S",5,7.53794590769231,1
"69",0,1,"PPT",3,"DD",5,0,1
"77",0,1,"CPT",3,"DD",5,0,1
"168",0,1,"PPT",3,"Apop",5,0,1
"176",0,1,"CPT",3,"Apop",5,0,1
"267",6.83214169000096e-18,1,"PPT",3,"Rep",5,6.83214169000096e-18,1
"275",0,1,"CPT",3,"Rep",5,0,1
"366",5.45427840759754e-17,1,"PPT",3,"CA",5,5.45427840759754e-17,1
"374",0,1,"CPT",3,"CA",5,0,1
"1911",151.837254153846,1,"CPT",3,"Accu",5,151.837254153846,1
"1912",151.837254153846,1,"PPT",3,"Accu",5,151.837254153846,1
"3101",6.62806145128205,1,"CPT",3,"S",5,6.62806145128205,1
"3102",6.62806145128205,1,"PPT",3,"S",5,6.62806145128205,1
"4",-0.0088856261687872,2,"PPT",1,"DD",5,-0.0088856261687872,2
"14",0.0828403978139214,2,"CPT",1,"DD",5,0.0828403978139214,2
"103",-0.0605894473149424,2,"PPT",1,"Apop",5,-0.0605894473149424,2
"113",0.316452031612147,2,"CPT",1,"Apop",5,0.316452031612147,2
"202",-0.355922002390077,2,"PPT",1,"Rep",5,-0.355922002390077,2
"212",0.147190503586439,2,"CPT",1,"Rep",5,0.147190503586439,2
"301",-3.70436101422439,2,"PPT",1,"CA",5,-3.70436101422439,2
"311",0.36465868287231,2,"CPT",1,"CA",5,0.36465868287231,2
"2011",70.8472224600047,2,"CPT",1,"Accu",5,70.8472224600047,2
"2012",70.8472224600047,2,"PPT",1,"Accu",5,70.8472224600047,2
"411",4.79117433230769,2,"CPT",1,"S",5,4.79117433230769,2
"412",4.79117433230769,2,"PPT",1,"S",5,4.79117433230769,2
"37",0.160591670691968,2,"PPT",2,"DD",5,0.160591670691968,2
"48",-0.0494201853761303,2,"CPT",2,"DD",5,-0.0494201853761303,2
"136",-0.00995122570926592,2,"PPT",2,"Apop",5,-0.00995122570926592,2
"147",-0.00887856858802406,2,"CPT",2,"Apop",5,-0.00887856858802406,2
"235",0.296533773523578,2,"PPT",2,"Rep",5,0.296533773523578,2
"246",0.044039350068149,2,"CPT",2,"Rep",5,0.044039350068149,2
"334",9.67465358299965,2,"PPT",2,"CA",5,9.67465358299965,2
"345",-2.14041391743659,2,"CPT",2,"CA",5,-2.14041391743659,2
"2211",96.6754570227954,2,"CPT",2,"Accu",5,96.6754570227954,2
"2212",96.6754570227954,2,"PPT",2,"Accu",5,96.6754570227954,2
"514",4.55890619538462,2,"CPT",2,"S",5,4.55890619538462,2
"515",4.55890619538462,2,"PPT",2,"S",5,4.55890619538462,2
"72",-0.00280544901539321,2,"PPT",3,"DD",5,-0.00280544901539321,2
"80",-0.0538684334388329,2,"CPT",3,"DD",5,-0.0538684334388329,2
"171",-0.484131151537073,2,"PPT",3,"Apop",5,-0.484131151537073,2
"179",0.079751717353553,2,"CPT",3,"Apop",5,0.079751717353553,2
"270",-0.0206173513407387,2,"PPT",3,"Rep",5,-0.0206173513407387,2
"278",-0.323974402103165,2,"CPT",3,"Rep",5,-0.323974402103165,2
"369",-0.761766530322033,2,"PPT",3,"CA",5,-0.761766530322033,2
"377",-0.667176664277145,2,"CPT",3,"CA",5,-0.667176664277145,2
"2411",88.5845234785267,2,"CPT",3,"Accu",5,88.5845234785267,2
"2412",88.5845234785267,2,"PPT",3,"Accu",5,88.5845234785267,2
"611",4.73398643025641,2,"CPT",3,"S",5,4.73398643025641,2
"612",4.73398643025641,2,"PPT",3,"S",5,4.73398643025641,2
"19",0.115507567064533,4,"CPT",1,"DD",5,0.115507567064533,4
"118",0.356791992247826,4,"CPT",1,"Apop",5,0.356791992247826,4
"217",0.0338277719694845,4,"CPT",1,"Rep",5,0.0338277719694845,4
"316",2.55413213329995,4,"CPT",1,"CA",5,2.55413213329995,4
"2611",73.4617919574351,4,"CPT",1,"Accu",5,73.4617919574351,4
"2612",73.4617919574351,4,"PPT",1,"Accu",5,73.4617919574351,4
"714",4.47407684153846,4,"CPT",1,"S",5,4.47407684153846,4
"715",4.47407684153846,4,"PPT",1,"S",5,4.47407684153846,4
"41",0.196370695308914,4,"PPT",2,"DD",5,0.196370695308914,4
"53",0.0454992823622418,4,"CPT",2,"DD",5,0.0454992823622418,4
"140",-0.209954918104659,4,"PPT",2,"Apop",5,-0.209954918104659,4
"152",-0.0479382018131873,4,"CPT",2,"Apop",5,-0.0479382018131873,4
"239",0.421095268336683,4,"PPT",2,"Rep",5,0.421095268336683,4
"251",0.32504585362879,4,"CPT",2,"Rep",5,0.32504585362879,4
"338",10.4148330595574,4,"PPT",2,"CA",5,10.4148330595574,4
"350",-7.72000411385507,4,"CPT",2,"CA",5,-7.72000411385507,4
"2811",128.339330915337,4,"CPT",2,"Accu",5,128.339330915337,4
"2812",128.339330915337,4,"PPT",2,"Accu",5,128.339330915337,4
"814",4.43425956410256,4,"CPT",2,"S",5,4.43425956410256,4
"815",4.43425956410256,4,"PPT",2,"S",5,4.43425956410256,4
"74",-0.0210730035913444,4,"PPT",3,"DD",5,-0.0210730035913444,4
"85",0.0192281402363843,4,"CPT",3,"DD",5,0.0192281402363843,4
"173",-1.11655155058199,4,"PPT",3,"Apop",5,-1.11655155058199,4
"184",0.0963550511079749,4,"CPT",3,"Apop",5,0.0963550511079749,4
"272",-0.171663326985668,4,"PPT",3,"Rep",5,-0.171663326985668,4
