 ,Label,Segment,Time,Area,Mean,StdDev,IntDen,Median,%Area,RawIntDen,MinThr,MaxThr
1,Peri 0.png,PPT,0,47178,26.193,11.002,1235714,23,2.621,1235714,16,65535
2,Peri 3.png,PPT,3,380802,34.189,11.695,13019165,31,21.156,13019165,22,65535
3,Peri 5.png,PPT,5,296247,44.033,14.941,13044584,40,16.458,13044584,28,65535
4,Peri 10.png,PPT,10,275065,43.128,15.44,11863046,39,15.281,11863046,27,65535
5,Peri 15.png,PPT,15,284183,35.928,12.955,10210232,32,15.788,10210232,23,65535
1,Peri 20.png,PPT,20,250626,37.04,13.54,9283271,33,13.924,9283271,24,65535
7,Peri 28.png,PPT,28,424283,40.534,13.402,17197757,37,23.571,17197757,26,65535
8,Cortex 0.png,CPT,0,42281,35.242,13.693,1490086,31,2.349,1490086,21,65535
9,Cortex 3.png,CPT,3,222350,32.232,12.254,7166713,29,12.353,7166713,20,65535
3,Cortex 5.png,CPT,5,293981,39.475,14.62,11605044,35,16.332,11605044,25,65535
2,Cortex 10.png,CPT,10,261338,32.633,11.494,8528120,29,14.519,8528120,21,65535
12,Cortex 15.png,CPT,15,298332,32.035,12.023,9556967,28,16.574,9556967,20,65535
13,Cortex 20.png,CPT,20,174626,32.162,12.676,5616322,28,9.701,5616322,20,65535
14,Cortex 28.png,CPT,28,234160,31.582,11.348,7395312,28,13.009,7395312,20,65535
