Time,Segment,Area,Mean,Std,IntDen,RawIntDen,MinThr,MaxThr,,Control Normalized
0,CPT,23093,33,14,767159,767159,19,255,,1
3,CPT,82829,28,12,2313244,2313244,16,255,,3.015338411
5,CPT,41559,35,14,1446722,1446722,20,255,,1.885817673
10,CPT,113532,33,13,3727691,3727691,20,255,,4.859085274
15,CPT,350269,35,12,12140580,12140580,22,255,,15.82537649
20,CPT,243411,36,12,8764088,8764088,23,255,,11.42408288
0,PPT,12722,38,17,486966,486966,21,255,,1
3,PPT,119442,31,12,3649014,3649014,18,255,,7.49336504
5,PPT,106343,41,16,4401003,4401003,24,255,,9.037598107
10,PPT,159189,39,14,6182004,6182004,24,255,,12.69493969
15,PPT,243582,41,15,10035914,10035914,26,255,,20.60906511
20,PPT,169485,35,13,5989843,5989843,22,255,,12.30033103
