"time"	"cell.id"	"cell.id"	"cell.center.y"

1	136	136	701.4947644
2	74	74	811.2682927
2	435	435	299.0178571

3	189	189	946.3059867
3	280	280	1028.556793


5	271	271	783.5334821
5	346	346	380.6205357
5	500	500	190.4555556

6	599	599	380.1202673
7	253	253	892.2650334
7	318	318	244.6205357
7	388	388	271.6902655
7	481	481	298.8824834
7	548	548	246.0491071
7	602	602	460.8396437

8	49	49	733.2882483
8	128	128	1081.546875

9	515	515	596.4865471
9	535	535	515.3481153

10	127	127	1055.82774
10	510	510	459.8133333

11	19	19	1108.63029

13	262	262	1137.269058
13	288	288	650.6637168

14	241	241	1161.555804
14	472	472	57.94594595
14	528	528	325.3616071
14	581	581	515.4466667

15	482	482	326.2192394
15	522	522	164.9731544

16	546	546	190.2933333
17	591	591	164.2017738


20	598	598	354.0698198
21	154	154	1185.637584
21	451	451	108.9352679
21	527	527	301.1331828


23	6	6	758.6762749


26	4	4	704
26	88	88	1185.201794

27	91	91	675.6703786
27	303	303	1054.325112

28	214	214	1028.286667
