"time"	"cell.id"	"cell.id"	"cell.center.y"

1	619	619	298.5909091
2	177	177	622.9330357
2	291	291	731.7461024
2	475	475	138.2533333
2	575	575	353.0022272

3	10	10	865.5022321
3	199	199	621.6210762
3	369	369	381.49217
3	558	558	515.4711111

4	400	400	596.6013363
4	484	484	380.0423163
4	590	590	136.0772627

5	310	310	31.04231626
5	594	594	245.1751663

6	216	216	1082.013333
6	359	359	110.2299107

7	569	569	192.1061947
8	26	26	702.3148559
8	179	179	677.2227171
8	220	220	1185.465324

9	230	230	865.3422819
9	317	317	217.7427938
9	616	616	217.6473214

10	370	370	408.5878378
10	474	474	111.8415179

11	524	524	217.027027
12	393	393	406.2276786
12	439	439	406.2483221
12	511	511	488.3281596

13	148	148	1028.238307
14	481	481	299.6948775

16	121	121	893.2933333
16	136	136	704.972973
16	492	492	597.2366071

17	71	71	731.2376682
17	131	131	1161.054054
17	464	464	460.027027

18	507	507	381.0421286


21	229	229	839.1081081
21	339	339	191.1263858

22	27	27	730.8126411
22	202	202	703.1488889

23	401	401	6.917960089
24	165	165	892.5133333
24	357	357	57.18018018

25	226	226	757.703125


28	565	565	82.93932584
