"","data4modelReal","timepoints","Segment","replID","StateVar","dose_uMadj","data4modelInterpol","timeID"
"1",0,1,"PPT",1,"DD",5,0,1
"10",0,1,"CPT",1,"DD",5,0,1
"88",0,1,"PPT",1,"Rep",5,0,1
"97",0,1,"CPT",1,"Rep",5,0,1
"1611",164.014239105783,1,"CPT",1,"Accu",5,164.014239105783,1
"1612",164.014239105783,1,"PPT",1,"Accu",5,164.014239105783,1
"182",8.18627384102564,1,"CPT",1,"S",5,8.18627384102564,1
"184",8.18627384102564,1,"PPT",1,"S",5,8.18627384102564,1
"30",0,1,"PPT",2,"DD",5,0,1
"38",0,1,"CPT",2,"DD",5,0,1
"117",0,1,"PPT",2,"Rep",5,0,1
"125",0,1,"CPT",2,"Rep",5,0,1
"178",201.341458562453,1,"CPT",2,"Accu",5,201.341458562453,1
"1710",201.341458562453,1,"PPT",2,"Accu",5,201.341458562453,1
"215",7.53794590769231,1,"CPT",2,"S",5,7.53794590769231,1
"217",7.53794590769231,1,"PPT",2,"S",5,7.53794590769231,1
"58",0,1,"PPT",3,"DD",5,0,1
"65",0,1,"CPT",3,"DD",5,0,1
"145",0,1,"PPT",3,"Rep",5,0,1
"152",0,1,"CPT",3,"Rep",5,0,1
"192",151.837254153846,1,"CPT",3,"Accu",5,151.837254153846,1
"193",151.837254153846,1,"PPT",3,"Accu",5,151.837254153846,1
"315",6.62806145128205,1,"CPT",3,"S",5,6.62806145128205,1
"317",6.62806145128205,1,"PPT",3,"S",5,6.62806145128205,1
"4",-0.165252984835996,2,"PPT",1,"DD",5,-0.165252984835996,2
"13",0.456714309159862,2,"CPT",1,"DD",5,0.456714309159862,2
"91",-0.15299728697415,2,"PPT",1,"Rep",5,-0.15299728697415,2
"100",0.0858793599993603,2,"CPT",1,"Rep",5,0.0858793599993603,2
"202",70.8472224600047,2,"CPT",1,"Accu",5,70.8472224600047,2
"203",70.8472224600047,2,"PPT",1,"Accu",5,70.8472224600047,2
"411",4.79117433230769,2,"CPT",1,"S",5,4.79117433230769,2
"412",4.79117433230769,2,"PPT",1,"S",5,4.79117433230769,2
"31",0.793184360943964,2,"PPT",2,"DD",5,0.793184360943964,2
"41",-0.320472180636543,2,"CPT",2,"DD",5,-0.320472180636543,2
"118",0.0589380911269112,2,"PPT",2,"Rep",5,0.0589380911269112,2
"128",0.0221455139494329,2,"CPT",2,"Rep",5,0.0221455139494329,2
"222",96.6754570227954,2,"CPT",2,"Accu",5,96.6754570227954,2
"223",96.6754570227954,2,"PPT",2,"Accu",5,96.6754570227954,2
"514",4.55890619538462,2,"CPT",2,"S",5,4.55890619538462,2
"515",4.55890619538462,2,"PPT",2,"S",5,4.55890619538462,2
"61",-0.0974437202430657,2,"PPT",3,"DD",5,-0.0974437202430657,2
"68",-0.192100175044796,2,"CPT",3,"DD",5,-0.192100175044796,2
"148",-0.00441022564821274,2,"PPT",3,"Rep",5,-0.00441022564821274,2
"155",-0.058096506433735,2,"CPT",3,"Rep",5,-0.058096506433735,2
"242",88.5845234785267,2,"CPT",3,"Accu",5,88.5845234785267,2
"243",88.5845234785267,2,"PPT",3,"Accu",5,88.5845234785267,2
"611",4.73398643025641,2,"CPT",3,"S",5,4.73398643025641,2
"612",4.73398643025641,2,"PPT",3,"S",5,4.73398643025641,2
"17",0.63439554563978,4,"CPT",1,"DD",5,0.63439554563978,4
"104",0.0555779871678375,4,"CPT",1,"Rep",5,0.0555779871678375,4
"262",73.4617919574351,4,"CPT",1,"Accu",5,73.4617919574351,4
"263",73.4617919574351,4,"PPT",1,"Accu",5,73.4617919574351,4
"714",4.47407684153846,4,"CPT",1,"S",5,4.47407684153846,4
"715",4.47407684153846,4,"PPT",1,"S",5,4.47407684153846,4
"34",0.892646155058717,4,"PPT",2,"DD",5,0.892646155058717,4
"44",0.228927923998587,4,"CPT",2,"DD",5,0.228927923998587,4
"121",0.0851115819004277,4,"PPT",2,"Rep",5,0.0851115819004277,4
"131",0.112893168721165,4,"CPT",2,"Rep",5,0.112893168721165,4
"282",128.339330915337,4,"CPT",2,"Accu",5,128.339330915337,4
"283",128.339330915337,4,"PPT",2,"Accu",5,128.339330915337,4
"814",4.43425956410256,4,"CPT",2,"S",5,4.43425956410256,4
"815",4.43425956410256,4,"PPT",2,"S",5,4.43425956410256,4
"63",-0.234702570121783,4,"PPT",3,"DD",5,-0.234702570121783,4
"73",0.0981906597771552,4,"CPT",3,"DD",5,0.0981906597771552,4
"150",-0.0818493026033626,4,"PPT",3,"Rep",5,-0.0818493026033626,4
"160",0.0326288891589048,4,"CPT",3,"Rep",5,0.0326288891589048,4
"302",95.5951830453607,4,"CPT",3,"Accu",5,95.5951830453607,4
"303",95.5951830453607,4,"PPT",3,"Accu",5,95.5951830453607,4
"914",4.89800827076923,4,"CPT",3,"S",5,4.89800827076923,4
"915",4.89800827076923,4,"PPT",3,"S",5,4.89800827076923,4
"5",0.691328342888728,24,"PPT",1,"DD",5,0.691328342888728,24
"14",1.26108709325557,24,"CPT",1,"DD",5,1.26108709325557,24
"92",-0.0871384011332561,24,"PPT",1,"Rep",5,-0.0871384011332561,24
"101",0.0793476690925737,24,"CPT",1,"Rep",5,0.0793476690925737,24
"452",133.147294642991,24,"CPT",1,"Accu",5,133.147294642991,24
"453",133.147294642991,24,"PPT",1,"Accu",5,133.147294642991,24
"1014",5.39778237948718,24,"CPT",1,"S",5,5.39778237948718,24
"1015",5.39778237948718,24,"PPT",1,"S",5,5.39778237948718,24
"32",1.15282236702366,24,"PPT",2,"DD",5,1.15282236702366,24
