MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1917931	Abraxas1	BRCA1 A complex subunit	5		mitotic G2 DNA damage checkpoint signaling			ISO	Q6UWZ7 	J:164563 	
MGI:1917931	Abraxas1	BRCA1 A complex subunit	5		mitotic G2/M transition checkpoint			NAS		J:320080 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		mitotic G2 DNA damage checkpoint signaling			ISO	Q13315 	J:164563 	
MGI:1921518	Aven	apoptosis, caspase activation inhibitor	2		negative regulation of G2/M transition of mitotic cell cycle			IBA	PTN001047187 	J:265628 	
MGI:1915501	Babam1	BRISC and BRCA1 A complex member 1	8		mitotic G2 DNA damage checkpoint signaling			IBA	PTN001437420 	J:265628 	
MGI:1915501	Babam1	BRISC and BRCA1 A complex member 1	8		mitotic G2 DNA damage checkpoint signaling			ISO	Q9NWV8 	J:164563 	
MGI:1915501	Babam1	BRISC and BRCA1 A complex member 1	8		mitotic G2/M transition checkpoint			NAS		J:320080 	
MGI:1333875	Babam2	BRISC and BRCA1 A complex member 2	5		mitotic G2 DNA damage checkpoint signaling			ISO	Q9NXR7 	J:164563 	
MGI:1333875	Babam2	BRISC and BRCA1 A complex member 2	5		mitotic G2/M transition checkpoint			NAS		J:320080 	
MGI:1328361	Bard1	BRCA1 associated RING domain 1	1		mitotic G2/M transition checkpoint			NAS		J:320080 	
MGI:1328362	Blm	Bloom syndrome, RecQ like helicase	7		mitotic G2 DNA damage checkpoint signaling			ISO	P54132 	J:164563 	
MGI:104537	Brca1	breast cancer 1, early onset	11		mitotic G2 DNA damage checkpoint signaling			ISO	P38398 	J:164563 	
MGI:104537	Brca1	breast cancer 1, early onset	11		mitotic G2/M transition checkpoint			IMP		J:92253 	
MGI:104537	Brca1	breast cancer 1, early onset	11		mitotic G2/M transition checkpoint			NAS		J:320080 	
MGI:2389572	Brcc3	BRCA1/BRCA2-containing complex, subunit 3	X		mitotic G2 DNA damage checkpoint signaling			ISO	P46736 	J:164563 	
MGI:2389572	Brcc3	BRCA1/BRCA2-containing complex, subunit 3	X		mitotic G2/M transition checkpoint			NAS		J:320080 	
MGI:3647286	Brcc3dc	BRCA1/BRCA2-containing complex, subunit 3, domain containing	10		mitotic G2 DNA damage checkpoint signaling			ISO	P46736 	J:164563 	
MGI:2685946	Brsk1	BR serine/threonine kinase 1	7		mitotic G2 DNA damage checkpoint signaling			ISO	Q8TDC3 	J:164563 	
MGI:102890	Ccng1	cyclin G1	11		mitotic G2 DNA damage checkpoint signaling			ISO	RGD:2295 	J:155856 	
MGI:1345150	Cdc6	cell division cycle 6	11		mitotic DNA replication checkpoint signaling			IBA	PTN000080055 	J:265628 	
MGI:88351	Cdk1	cyclin dependent kinase 1	10		mitotic G2 DNA damage checkpoint signaling			IBA	PTN002514139 	J:265628 	
MGI:88351	Cdk1	cyclin dependent kinase 1	10		mitotic G2 DNA damage checkpoint signaling			IDA		J:86382 	
MGI:1933126	Cdk5rap3	CDK5 regulatory subunit associated protein 3	11		mitotic G2 DNA damage checkpoint signaling			ISO	Q96JB5 	J:164563 	
MGI:1933126	Cdk5rap3	CDK5 regulatory subunit associated protein 3	11		mitotic G2/M transition checkpoint			ISO	Q96JB5 	J:164563 	
MGI:104556	Cdkn1a	cyclin dependent kinase inhibitor 1A (P21)	17		mitotic G2 DNA damage checkpoint signaling			ISO	P38936 	J:164563 	
MGI:1202065	Chek1	checkpoint kinase 1	9		mitotic G2 DNA damage checkpoint signaling			ISO	O14757 	J:164563 	
MGI:1202065	Chek1	checkpoint kinase 1	9		mitotic G2/M transition checkpoint			ISO	O14757 	J:164563 	
MGI:1202065	Chek1	checkpoint kinase 1	9		negative regulation of G2/M transition of mitotic cell cycle			ISO	RGD:620545 	J:155856 	
MGI:2444898	Chfr	checkpoint with forkhead and ring finger domains	5		mitotic G2/M transition checkpoint			ISO	Q96EP1 	J:164563 	
MGI:1913621	Chmp4c	charged multivesicular body protein 4C	3		mitotic cytokinesis checkpoint signaling			ISO	Q96CF2 	J:164563 	
MGI:2445153	Clspn	claspin	4		mitotic DNA replication checkpoint signaling			IBA	PTN001801959 	J:265628 	
MGI:2445153	Clspn	claspin	4		mitotic DNA replication checkpoint signaling			ISO	Q9HAW4 	J:164563 	
MGI:2445153	Clspn	claspin	4		mitotic G2 DNA damage checkpoint signaling			IBA	PTN001801959 	J:265628 	
MGI:2445153	Clspn	claspin	4		mitotic G2 DNA damage checkpoint signaling			ISO	Q9HAW4 	J:164563 	
MGI:1196431	D7Ertd443e	DNA segment, Chr 7, ERATO Doi 443, expressed	7		mitotic G2 DNA damage checkpoint signaling			IDA		J:160788 	
MGI:1890621	Donson	downstream neighbor of SON	16		mitotic G2 DNA damage checkpoint signaling			ISO	Q9NYP3 	J:164563 	
MGI:1924093	Dtl	denticleless E3 ubiquitin protein ligase	1		mitotic G2 DNA damage checkpoint signaling			IBA	PTN000523288 	J:265628 	
MGI:1924093	Dtl	denticleless E3 ubiquitin protein ligase	1		mitotic G2 DNA damage checkpoint signaling			ISO	Q9NZJ0 	J:164563 	
MGI:1298387	Fhl1	four and a half LIM domains 1	X		negative regulation of G2/M transition of mitotic cell cycle			ISO	Q13642 	J:164563 	
MGI:1918625	Foxn3	forkhead box N3	12		mitotic G2 DNA damage checkpoint signaling			ISO	O00409 	J:164563 	
