MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1917931	Abraxas1	BRCA1 A complex subunit	5		mitotic G2 DNA damage checkpoint signaling			ISO	Q6UWZ7 	J:164563 	
MGI:109349	Atf2	activating transcription factor 2	2		mitotic intra-S DNA damage checkpoint signaling			ISO	P15336 	J:164563 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		DNA damage checkpoint signaling			IBA	PTN001673294 	J:265628 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		DNA damage checkpoint signaling			IMP		J:86382 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		DNA damage checkpoint signaling			ISO	Q13315 	J:164563 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		mitotic G2 DNA damage checkpoint signaling			ISO	Q13315 	J:164563 	
MGI:108028	Atr	ataxia telangiectasia and Rad3 related	9		DNA damage checkpoint signaling			IBA	PTN001673376 	J:265628 	
MGI:108028	Atr	ataxia telangiectasia and Rad3 related	9		DNA damage checkpoint signaling			IMP		J:86382 	
MGI:108028	Atr	ataxia telangiectasia and Rad3 related	9		DNA damage checkpoint signaling			ISO	Q13535 	J:164563 	
MGI:1925349	Atrip	ATR interacting protein	9		DNA damage checkpoint signaling			IEA	IPR033349 	J:72247 	
MGI:1915501	Babam1	BRISC and BRCA1 A complex member 1	8		mitotic G2 DNA damage checkpoint signaling			IBA	PTN001437420 	J:265628 	
MGI:1915501	Babam1	BRISC and BRCA1 A complex member 1	8		mitotic G2 DNA damage checkpoint signaling			ISO	Q9NWV8 	J:164563 	
MGI:1333875	Babam2	BRISC and BRCA1 A complex member 2	5		mitotic G2 DNA damage checkpoint signaling			ISO	Q9NXR7 	J:164563 	
MGI:1333875	Babam2	BRISC and BRCA1 A complex member 2	5		regulation of DNA damage checkpoint			NAS		J:320084 	
MGI:1328361	Bard1	BRCA1 associated RING domain 1	1		regulation of DNA damage checkpoint			NAS		J:320084 	
MGI:1328362	Blm	Bloom syndrome, RecQ like helicase	7		mitotic G2 DNA damage checkpoint signaling			ISO	P54132 	J:164563 	
MGI:104537	Brca1	breast cancer 1, early onset	11		mitotic G2 DNA damage checkpoint signaling			ISO	P38398 	J:164563 	
MGI:104537	Brca1	breast cancer 1, early onset	11		regulation of DNA damage checkpoint			NAS		J:320084 	
MGI:109337	Brca2	breast cancer 2, early onset	5		regulation of DNA damage checkpoint			NAS		J:320084 	
MGI:2389572	Brcc3	BRCA1/BRCA2-containing complex, subunit 3	X		mitotic G2 DNA damage checkpoint signaling			ISO	P46736 	J:164563 	
MGI:2389572	Brcc3	BRCA1/BRCA2-containing complex, subunit 3	X		regulation of DNA damage checkpoint			NAS		J:320084 	
MGI:3647286	Brcc3dc	BRCA1/BRCA2-containing complex, subunit 3, domain containing	10		mitotic G2 DNA damage checkpoint signaling			ISO	P46736 	J:164563 	
MGI:1888520	Brd4	bromodomain containing 4	17		negative regulation of DNA damage checkpoint			ISO	O60885 	J:164563 	
MGI:2685946	Brsk1	BR serine/threonine kinase 1	7		mitotic G2 DNA damage checkpoint signaling			ISO	Q8TDC3 	J:164563 	
MGI:97295	Casp2	caspase 2	6		DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest			ISO	P42575 	J:164563 	
MGI:2444228	Ccar2	cell cycle activator and apoptosis regulator 2	14		positive regulation of DNA damage checkpoint			ISO	Q8N163 	J:164563 	
MGI:88313	Ccnd1	cyclin D1	7		mitotic G1 DNA damage checkpoint signaling			ISO	P24385 	J:164563 	
MGI:102890	Ccng1	cyclin G1	11		mitotic G2 DNA damage checkpoint signaling			ISO	RGD:2295 	J:155856 	
MGI:1918952	Cdc5l	cell division cycle 5-like	17		DNA damage checkpoint signaling			ISO	Q99459 	J:164563 	
MGI:5591876	Cdc5lrt1	cell division cycle 5 like, retrotransposed 1	10		DNA damage checkpoint signaling			ISO	Q99459 	J:164563 	
MGI:5591961	Cdc5lrt4	cell division cycle 5 like, retrotransposed 4	10		DNA damage checkpoint signaling			ISO	Q99459 	J:164563 	
MGI:3643524	Cdc5lrt5	cell division cycle 5 like, retrotransposed 5	10		DNA damage checkpoint signaling			ISO	Q99459 	J:164563 	
MGI:3647148	Cdc5lrt6	cell division cycle 5 like, retrotransposed 6	10		DNA damage checkpoint signaling			ISO	Q99459 	J:164563 	
